,nickname,created,review
539,이향숙,2020.09.11 08:49,행복한 시간이었습니다. 읽는것도 좋은데 들으니 또 다른 느낌이었고  상상하며 푹빠졌습니다. 감사한다. 
540,윤 희준,2020.09.10 19:18,풋풋하고 사랑스런 느낌의 소설
541,경아,2020.09.10 14:56,"넘 재밌게 들었습니다
시간은 사림을 기다려 주지 않는다
지금 이시간을 충실하게 살아가야겠습니다"
542,준혁,2020.09.10 14:30,시간을 파는 상점 2 나왔으면 좋겠네요
543,☆,2020.09.10 05:29,우리딸에게 꼭 들려주고싶은 책입니다^^
544,장미경,2020.09.09 22:54,재미있네요
545,이오,2020.09.09 16:42,재미있습니다
546,blue pumpkin명훈,2020.09.09 16:07,재미있게 잘 들었습니다~~^^
547,박영흠,2020.09.09 15:55,스르르 끌려  잘 들었습니다.
548,다은김,2020.09.08 17:09,솔직히 서른을 앞두고 있는 시점에서 제가 읽기엔 다소 오글거리고 유치한 부분도 있었지만 주인공과 등장인물들이 하나같이 따뜻하고 선함을 갖고있어 편하게 힐링하며 들었어요!! 스토리도 살짝 뻔하긴 하지만 탄탄하네요
549,엄마빠 손.,2020.09.08 16:41,"온조처럼 키우고싶다는 생각이 들었어요.
청소년들을 보는 따뜻한 시선이 느껴져서 편안하게 들을수 있었어요.  너무 부정적이거나 어둡지 않아서요."
550,박윤숙,2020.09.08 11:48,"너무 재미나네요!
문장과 표현이 넘 좋았습니다~"
551,영민김,2020.09.07 19:27,"표현력과 문장력이 참 좋네요
듣는내내 너무 몰입해서 들었습니다
어른이 듣기에도 깊은 울림이 있어서 꼭 책으로 다시 봐야겠어요"
552,이현경,2020.09.07 16:50,"청소년 드라마도 안보는 사람인데.. 이건 재밌었습니다 윌라 계속 구독하게 하네요 ㅋ~ 
이런 글들이 많아지면 좋겠습니다"
553,putabout,2020.09.07 02:00,맨마지막 인터뷰빼고는 재미있게 들었어요.
554,jmy.j,2020.09.06 19:59,20200906
555,백선영,2020.09.06 19:10,계속해서 윌라를 틀게 만들었던 책입니다. 어른아이 구분할 필요없이 모두 빠져들게 만드는 스토리입니다! 간만에 몰입했던 소설이었네요! 
556,이미숙~ ♡,2020.09.06 18:39,신선하고 내용이 자꾸 궁금하게 만든다.  모처럼 재미있는 소설을 들었다.
557,김용현,2020.09.06 13:44,"34살 직장인이 들어도
많은 울림이 있는 소설이에요"
558,휴에스테틱,2020.09.05 18:15,"온나라가  어수선할때 마음따뜻하게 해주는 소설입니다 우리 아이에게도 권하고 싶은 소설입니다 
잘 들었습니다 "
559,박성우,2020.09.05 14:17,재밌어요
560,이선미,2020.09.04 19:35,"어른들이 들어도 교훈이 되는거같아요
재미있고 상상하면 잼나게 들었어요
"
561,김의관,2020.09.04 16:50,초반에 잔인한 내용이 자세하게 묘사되어 아이들과 듣는데 불편했어요. 어린아이들과는 함께 듣지 않는게 좋을것 같아요. 초반에 듣다가 말아서 내용은 잘 모르겠어요. 
562,김태영(현서지후맘),2020.09.04 16:03,영화보다 글이 좋은 이유가 상황 묘사 표현의 아름다움을 느낄 수 있어서
563,LeeSoyoung♥,2020.09.03 23:06,"한글이 얼마나 이뿐지 순간순간 기억하고픈 문장이 많아요 ^
나중에 책으로도 다시 읽어 눈으로도 기억하고 싶네요 "
564,Mandy,2020.09.03 18:44,저 역시 어른인데..벌써 어른이라니... 난 왜 저 맘 때 온조처럼 내 시간을 내 시간처럼 사용하지 못했나... 아쉽다가도 지금부터 내 시간을 내가 사용해야겠다 싶습니다 내일 저는 꼭 바람의 언덕을 갈겁니다^^
565,김정희,2020.09.02 20:37,괜찮네요~잘들었어요
566,hwajin.lee,2020.09.01 18:10,청소년 소설인데도 재미있어요. 청소년 소설에 대한 선입견이 깨졌습니다.^^
567,이미주,2020.09.01 05:36,청소년문학이네요. 또래들이 읽기는 재밌을거 같네요.
568,김은주~~^^,2020.08.31 19:53,목이 아파 책읽기힘들었는데 넘 좋아요
569,김남정,2020.08.31 18:36,점점빠져들면서 생각을 하게 되네요^^
570,희쑥,2020.08.31 18:04,재밌어요^^
571,주현상,2020.08.30 14:12,작품 속에 빠져 드는 듯 합니다 최고이십니다 
572,Lee Eunjung,2020.11.16 20:04,잘 들었습니다. 
573,이유란,2020.10.30 18:25,좋은글 감사합니다 
574,aphrodite,2020.10.24 15:33,"첫문구부터 와닫지않아요
위암걸린 오빠투병중에 느꼈던 병원의사들의 이기적이고 잔인한행동들
삼성병원 적십자병원 나중엔 죽어가는사람앞에두고 병실을 구걸하게 만드는 병원들.. 그때생각하면.
의사들 병원들 밝지않습니다.
환자들에게 희망따위는 주지않습니다"
575,wool,2020.10.02 14:59,전별루네요 ...
576,김하늬(채완맘),2020.09.28 18:39,감동의 언어가 있을줄 알았는데 이렇게 해야한다 저렇게살아야한다 식이예요 
577,승희바라기,2020.09.21 09:43,윌라 잘듣고 있습니다.제가 책읽으면 잠이오는데..윌라는 재미있어요.잠이 안와요.
578,JY,2020.09.18 18:06,차분하게 눈을 감고 듣다 보니 시간이 금방 지나가네요. 나를 돌아볼 수 있어서 너무 좋았고 친구에게 꼭 소개하고 싶어요:)
579,김정화,2020.09.11 08:58,나를 보살필 수 있는 마음 편한 책이였습니다.낭독해 주시는 성우님의 목소리도 편하고 좋았습니다.
580,강선희,2020.09.09 11:03,"조용히 듣기 좋은 책이네요 
"
581,이미숙~ ♡,2020.09.06 18:41,내용은 나를 돌아보게 해서 좋은데 장이 넘어갈때 마다 잡음 소리가 많다.
582,Hyung Hee,2020.09.05 02:12,여러 성우들이 읽어주는것에 실감도나고 머리속으로 내용을 상상하며 다음 내용이 궁금 해지면서 재미나면서도 푹 빠져들면서 듣습니다^^ 전 개인적으로 오디오북 강추입니다.
583,정설혜,2020.09.04 23:31,오늘 처음인데 제가 잘몰라서 그런지...글을 보면서 같이들었음 더 좋았을것같아요 
584,김나영,2020.09.04 17:25,그냥 전 별루입니다
585,노민래,2020.09.03 20:40,내가 잊고 있었던 마음의 여유랄까요. 바쁘게 산것두 아닌데두 늘 쪽기면서  살아두 뒤돌아보면 제자리인듯한 인생이지만 그래두 마음에 여유는 잊지말아야지 하는생각을 하면서 또다른 여유로운 삶을 위해서~~
586,김혜경(Grace),2020.09.01 21:53,"너무나 많은 정보들 사이 속에서 나의 머리,마음속을 차분히 진정시키고 싶을 때..잠시 쉬어간다는 생각으로 듣다보니 어느새 다 듣게 되었네요. 쉽고 공감가는 내용도 있고 나를 생각하게 하는 구절도 있고 좋은 시간이었습니다"
587,,2020.12.01 01:21,좌파 우파 편가르기하는 인간들  한심하다
588,임귀현,2020.11.26 16:38,너무 편향되있네요. 좌파교육서적이네ㅡㅡ
589,손정식,2020.11.23 23:05,"좋네요 틀린말이 하나도 없어요
있는 얘기를 하는데 좌평향이라니
지어낸것도 아니고"
590,배규환,2020.11.22 17:52,편협한시선.  
591,김경진,2020.11.19 07:16,필독서
592,최재영,2020.11.18 16:17,현대사 부분을 듣다보니 지금껏 투자한 시간까지 아깝게 느껴지네
593,전병천,2020.11.17 04:34,댓글들 보니 필독서인가보네
594,윤정희,2020.11.14 07:53,음..?
595,와락,2020.11.13 15:53,좋은 내용입니다
596,황영준,2020.11.12 23:39,별점 1점도아깝다
597,John,2020.11.12 21:47,"김일성이 항일운동에 힘쓴 영웅이며 박정희가 김일성을 조작했다고 하고, 사회주의와 공산주의를 미화하며 신간회를 미화하는 이책은 좌편향도 아니고 그냥 공산주의를 은근히 주입하기위한 빨갱이 초급편이라고 볼수밖에없음."
598,전은성,2020.11.11 11:27,좌편향관점이 있지만 심히 부담스러울정도는 아닙니다
599,이주은,2020.11.08 20:38,우파편향 70년동안 배웠으니 좌파편향도 한번은 읽어봐야...
600,Yj Park,2020.11.08 15:41,"이거 들어야 하나? 듣다보니 짜증나네...아무리 문화계를 좌파가 장악했다지만 역사를 입맛에 맞는거만 올리냐? 너 윌라 보고 하는 말이다...
소련의 동구권 침략전으로 한반도에 미국참전으로 미국발 묶기 위해  벌인 전쟁이다. 그기에 놀아난게 중공과 북한이고...이 전략으로 중공은 약해지고 소련의 지위는 강대해진다,"
601,,2020.11.06 08:50,"평소에 한국사 책을 좋아해서,, 
자기전 들으려고 틀었는데...
뭔가 한국사 느낌과 달라서 별로였어요 ╥﹏╥"
602,,2020.11.06 06:37,사회주의 역사책
603,강전국,2020.11.05 02:59,좋아요 
604,수경,2020.11.04 12:58,윌라  가입하면 책값은 들을때마다 사야되나요?
605,이재영,2020.11.04 08:21,근현대 좌편향
606,이명주(정우맘),2020.11.04 01:21,잘들었습니다~~
607,솔지,2020.11.01 14:09,댓글 보니까 무조건 들어봐야할 책인듯 
608,정경,2020.10.31 19:06,좌편향
609,최종석,2020.10.28 16:23,댓글 보니 들어봐야 할 책인거 같네요.
610,윤석인,2020.10.24 20:22,현대사 좌 쏠림
611,정현우,2020.10.22 15:13,"전체흐름과 개별사안 양 면 모두에서 알찬 책이었네요. 잘 들었습니다. 읽는 속도와 발음, 목소리도 무난해서 귀에 잘 들어오네요. "
612,이철래,2020.10.18 13:06,"가장 재미있었던 한국사입니다.
각각의 에피소드가 재미있으면서도 전체 시대의 흐름도 이해할 수 있었어요."
613,전찬진,2020.10.17 06:52,"지루하고 복잡하게만 느꼈던 한국사를 일목요연하게 정리해주셔서 감사합니다.
"
614,유승휘,2020.10.14 23:14,".,,"
615,웅이,2020.10.14 21:37,"역사기술에 감정을 좀 빼셨으면..

아무리 잘못한 사람이여도,

이명박, 박근혜 전 대통령은, 고의적으로 호칭누락한것.

김영삼 대통령 당선은 93년도 인데,
92년이라고 기술한 점.

북침, 남침관련해서는, 본인도 최종적으로 소련 문건공개로, 남침이 확실한데도, 안해도 될 말인, 중간에 북침을 설명한 점.

이래서 근현대사는 발전이 없다는 것을 또 한번 느끼네요.

조선시대까지만 내용이 알차서, 별 3개 줍니다."
616,이현경,2020.10.12 10:56,김일성편을 할애한다고 의열단 얘기가 안보이는게 안타깝네요 근현대사부분은 아쉬운점이 많긴합니다만 그리 욕먹을 정도는 아닙니다 책한권에 모든 역사를 다담으려니 더 그런듯 하네요
617,Yul❤️,2020.10.12 01:10,간결 하면서도 중요한 사건들은 잘 들어가 있어서  좋았습니다
618,정주영,2020.10.11 16:02,불편해하시는분들 꽤 있네요. 부끄러운 역사를 똑바로 보는것이 불편하신거겠죠. 잘못된 역사교육의 폐혜라고 생각합니다
619,김태훈,2020.10.10 23:18,사실을 기반한 역사에 대한 내용
620,이목동 ,2020.10.09 08:29,한국사의 전체 흐름과 정확히 몰랐던 내용들을 알게되어 유익한 시간이었다
621,이진형,2020.10.09 00:33,"일단 문채가 지루함
내용이 쭉 열거하는식이라 흥이 안남
지루 노잼 "
622,박미옥,2020.10.08 09:26,"현대사에 사실을 열거하니 불편한 분들이 많은듯한데.
우리가 교육받았던 잘못된 역사관을 중립적 시각에서 잘 정리한 책입니다. 리딩 목소리도 참 좋으시네요."
623,이승엽,2020.10.07 09:23,"끝까지 들은 내가 잘 못 이구나
주관적이 역사관이 이렇게 무서운건 다시 느낌"
624,felixhj,2020.10.04 23:03,현대사를 무슨 북한사관에 맞췄나?
625,승본구,2020.10.02 00:22,"아이구.. ㅎㅎㅎ 듣다가 역겨워서 토할뻔.. 
박정희 대통령 엄청나게 까네 ㅋㅋ"
626,그루터기 진선희,2020.09.28 22:31,처음에는 재미가 있지만 마지막부분은 많은 부분에서 거슬렸습니다.
627,김미화,2020.09.28 00:15,현대사빼고 이전것만 추천
628,이정만,2020.09.26 15:27,저질 왜곡
629,김유진,2020.09.24 21:58,다카키 마사오 팬들은 편협하다고 난리네 ㅎㅎ 잘 읽었습니다
630,이숭현,2020.09.24 03:07,밑에 김주리 ㅡ 중국의 만행에는 화가 안 나더냐?
631,.,2020.09.23 10:43,현대사는 스킵ㅜㅜ
632,김민우,2020.09.23 08:37,비추 잘못된역사개념
633,최효성,2020.09.23 08:34,"현대사부분이 좌클릭이라고 댓글다는건 이해가 안가네요 작가 개인의 감정보단 사실위주로 써져있던데요  
고조선부터 2010년까지 재밌게 잘 들었습니다. "
634,이혬,2020.09.23 00:30,잘 들었습니다~ 사실에 기반한 팩트만 서술해서 훨 듣기 좋네요 ^^ 나라 팔아먹는 사람들이 만연한 이 시대에 어울리는 책이라 생각합니다 
635,jinyoung,2020.09.21 21:29,괜찮은것 같아요
636,김정연(벽봉),2020.09.21 19:13,참내 박정희 시대를 살아본 제가 듣기엔 너무 편협한 내용이군요 이걸 그대로 믿게 될 자라나는 세대가 너무 걱정됩니다 소련의 지령과 조선 공산화 세력들로부터 남한의 공산화를 막기 위한 이승만의 노력보다는 그저 입만 열면 친일 인민 민중...에고 쯧쯧 이걸 믿는다면 유엔이 선언한 한반도 유일 합법국가 대한민국의 정통성을 부정하게 되고 김일성을 그리워하는 안타까운 후손들이 계속 생겨나겠네요;; 제대로 기억하세요~이제 악의 화신 공산주의는 붕괴되었고 남북한 경제력은 비교할 수조차 없습니다 아직도 김일성과 이승만을 비교하시렵니까;; 남한을 북한보다 비교할 수조차 없는 세계적 국가가 되게한 사람들에게 조그마한 감사는 하고 삽시다;; 이런책 추천한 윌라에 대 실망;; 아 물론 현대사 이전의 내용들은 재미있고 유익했습니다 ㅎㅎ
637,김성현,2020.09.20 10:15,잘나가다가 현대사에서 극단적 편향을 보여주네요 
638,장진희,2020.09.20 05:19,Very good.
639,강희숙(요리킹)NOAH,2020.09.17 23:55,집중할수있는 목소리~~^^~~
640,김성진,2020.09.17 15:03,"필독서 급입니다 매우 요약 잘되어있구요.
편협한 역사관이라 하는 사람은 ㅉㅉ 
특히 접하기 힘든 근대사를 중립적인 시각에서 들을 수 있어서 너무 좋았습니다."
641,김준기,2020.09.17 07:03,편협된 역사관이 깔고 집필하신듯 시간이 아깝네요
642,龙江,2020.09.17 02:59,"The original book had a lot of mistakes, for example: in the chapter '대 거란 전쟁 제1라운드' in the third paragraph '만부교' is mistyped as '문부교', in the chapter '승리한 장군을 모두 ...' in paragraph 2 '동부도위' is mistyped as '용부도위', and  many, many mistakes in Hanjas throughout. The audiobook never corrected it and just read it as is! Do you ever CHECK your text before you read it out? I'm a Chinese trying to learn Korean, and this is my first time trying out a Korean audiobook service and it's been VERY DISAPPOINTING!"
643,이원진,2020.09.15 11:04,역사왜곡 교과서와 친일파 후손들이 판치는 이런 시기에 더욱 적절한 서적인 것 같습니다!! 
644,윤문형 ,2020.09.14 18:23,재밌게 잘 읽었습니다 
645,홍대의,2020.09.14 05:56,결말은 촛불이네
646,호이,2020.09.13 18:36,"국뽕이
너무 심해서 듣다가 입에서 욕튀어나옴 ㅋㅋㅋ"
647,이깡오,2020.09.13 12:29,에휴..아직도 이딴걸 한국사라고..제발 있었던 사실 그데로..
648,강대현,2020.09.13 08:08,좌파적 성격이 너무 강한듯 
649,범준♡범서,2020.09.12 22:00,아직도 좌파 우파 참 시대를 거꾸로 달리며 사는 어리석은 사람들
650,이인수,2020.09.09 10:53,아주 좋아요
651,양정환,2020.09.08 23:28,남로당 박정희
652,김형민,2020.09.07 07:44,이승만과 박정희를 국부로 여기는 사람들이 싫어할 내용이 있네요.
653,본민,2020.09.04 19:02,재밌게 듣다가 갑자기 좌클릭이심하다는생각이드네 못듣겠다 무슨 역사책이냐 왜곡된역사책같은데?
654,최재홍,2020.09.04 13:47,나만 그렇게 느낀게 아니군.. 편협한 역사관
655,서보경  KERRY,2020.09.01 05:38,정치적 성향이 너무 강하다. 편협한 역사관.
656,이승희,2020.11.29 14:15,금리와 환율로 세계 경제 흐름을 정말 쉽게 설명을 잘 해 줍니다.. 많이 배웠습니다
657,권영미,2020.11.21 18:13,유익하네요
658,갱희,2020.11.21 05:57,목소리가 안정적이라 좋네요
659,김덕익,2020.11.18 22:01,공감이 가는 내용에 듣기 좋네요
660,임유승,2020.11.09 16:59,책 내용이 보이면 좋았을 것을
661,일청,2020.10.30 15:45,"내용도 좋고 특히 성우분의 자연스러운 억양, 성량, 발음 등 너무 좋았습니다. 강추"
662,전찬진,2020.10.29 08:00,"저는 이 책을 포함해서 윌라 경제분야에 있는 상위 베스트 셀러 책들을 들었고 동학개미가 됐죠... 거두절미하고 이 책을 읽으셨거나 읽을 예정이시라면 '초예측 부의 미래' 또한 들어보시길 바랍니다. 균형있는 판단에 도움을 줄것입니다. 
"
663,송채현,2020.10.28 05:24,듣기편하고 재밌네요! 성우님 너무좋아요! 1.2배속 추천드립니다ㅋㅋ
664,정재철,2020.10.22 20:39,아주  재미있고  유익하게  들었습니다
665,설아,2020.10.20 08:14,"완전 강추, 경제공부 교양공부 다 되요 재미도있구요"
666,sun,2020.10.13 14:33,최고임
667,장현민,2020.10.10 00:07,최고임
668,김주리,2020.10.07 14:52,성우님 넘 좋아요. ㅋㅋ
669,Junhee Kim,2020.10.05 20:21,정말 1.2 배속으로 들어야 하네요 ㅎㅎ 
670,김윤태,2020.09.26 12:59,좋은 책입니다. 처음 접하시는 분은 부록을 참고 하시면 좋을 것 같습니다.
671,한유철,2020.09.20 10:09,1
672,이목동 ,2020.09.19 16:58,환율과 금리를 나의 생활에 가까이 두고 수시로 지켜 보기로 하였다 과연 나의 생활에 어떤 영향을 미칠지 기대된다
673,박미옥,2020.09.17 19:08,1.2배로 들으셔야 정상적인 속도로 들립니다
674,전우석,2020.09.16 16:56,재미있고 쉽게 설명해서 좋았음
675,이명노,2020.09.15 12:58,쉽고 재미있게 잘들었어요 성우님 목소리참좋네요  한편의 다큐를 귀로본느낌
676,정진규,2020.09.14 05:18,말이 너무 느려요
677,이지아,2020.09.11 20:56,최고
678,김경찬,2020.09.10 23:47,"운전하며 들어도 이해가 잘가게 써주셨고, 읽어주시네요."
679,최광덕,2020.09.08 19:05,재미있게 잘 들었습니다 
680,믿음 위에 건강한 가정,2020.09.08 16:43,완독했습니다. 일단 환율이나 금리에 대한 지식이 없어도 이해하기 쉽습니다. 이책이 출간된 시점에서 이 책을 읽었더라면 금에 투자해서 올해 재미 좀 봤을건데 아쉽네요^^ 
681,金知洪,2020.09.07 12:53,쉽게 이해할수있습니다 성우의  목소리가 쏙쏙들어옵니다
682,조상명,2020.09.06 23:25,너무 쉽게 설명 해 주고 있다
683,강봉균 난 한국,2020.09.04 07:26,이해하기 쉽게 잘 들립니다.
684,유정희,2020.09.03 21:44,잘 들어오네요  좋아요
685,Dongwon Kim,2020.08.31 18:35,알기쉽게 귀에 쏙쏙 들어오네요
686,최재홍,2020.08.31 08:00,잘 들었습니다.
687,정또삐,2020.08.31 07:23,와 ....정말.. 이런 기본 지식은 필수적으로 알아야하는데요. 많이 배웠습니다.
688,이병열,2020.08.30 19:42,참 좋은 하루 보내 주시면 감사하겠습니다 
689,박성철,2020.08.30 16:40,좋아요
690,수현김,2020.08.29 15:13,좋네요
691,Da EunLee,2020.08.26 08:14,우와. 좋네요. 
692,Pil Kyu Choi,2020.08.24 08:56,현재 가장 중요한 이슈인 부동산 폭등과 코로나 이슈가 빠져있어 작가의 진정한 통찰이 보이지 않는 점이 아쉽다. 이 시점에 나온 신간이면 당연히 그 내용이 들어있을줄 알았는데 정작 중요한 내용은 없었다. 그리고 부동산 관련 언급에서 작가 본인이 전문가가 아니라고 했는데 진짜 그런것 같다. 바로 1년후에 나타난 부동산 시장 상황을 전혀 예측하지도 못했고 평가도 오히려 어쩔수 없었다는 입장이니 말이다.
693,눈꽃송이,2020.08.24 01:15,좋아요  내용이 쏙쏙들어 오네요
694,"손정예(민준,민기)",2020.08.23 22:12,내용 짱
695,문태진,2020.08.23 20:41,책 내용도 좋고 조연우님 낭독 촤고입니다!
696,JinWook Jeong,2020.08.23 18:58,어려운내용 그래도 이해 쉽게 .. 좋습니다
697,박동현,2020.08.23 04:58,굿
698,설,2020.08.22 12:09,이 성우님이 읽어주시는 다른책도 듣고 싶어요.깔끔하고 쏙쏙 잘 들어옵니다~^^
699,,2020.08.21 18:52,일단 책을 끝까지 들어보지 않았지만 성우님의 깔끔하고 이해하기 쉽게 꼭옆에서 설명해주듯이 연기를하면서 해주시니 듣기 너무 편하고 좋아요 
700,김미진,2020.08.21 17:23,성우님이 잘 읽어주셔서 듣기가 좋습니다. 오르락 내리락 라임이 있어서 귀에 쏙쏙 들어오네요. 이 성우님이 읽어주시는 책 더 들어보고 싶네요
701,정보풍경,2020.11.30 23:23,"나레이션 TTS인가요? 다다다다
연기하는 성우님들은 자연스러운데 나레이션 때문에 못듣겠네.."
702,문지윤,2020.11.20 19:15,에휴..스타가 뭐라고
703,Iris,2020.11.16 11:55,남도형성우님 팬입니다^^ 내용은 그냥그냥... 형사3이죽었다가 제일 재미있었고 스타이즈본은 개연성이 영.. 나머지는 soso... 도형님 목소리들으려고 끝까지들었어요ㅎㅎ
704,김소연,2020.11.12 15:36,너무 좋았어요. 생각날 때마다 계속 돌려듣습니다.
705,Cori,2020.11.10 14:21,형사3이 죽었다 정말 재미있게 들었어요. 설정도 흥미롭고 전개는 루즈하지 않고 납득가는 결말이 마음에 들었어요. 단편 드라마로 나오면 재미있을 것 같아요:) 
706,Dain Han,2020.10.25 12:56,재미있게 들었습니다. 상상력을 더해주는 이야기들이네요.
707,김정희,2020.10.06 16:09,"난 너무 재밌었어요~~~
평이 안좋아 반신반의 했는데 재밌네요~~추천"
708,박재훈,2020.10.05 03:12,상상력이 기발한 이야기로 전편 다 재밌게 봤는데 호불호가 있나 보네요. 아무튼 심심할때마다 꺼내 들었어요
709,보험클리닉 영통점,2020.10.03 21:18,각각재밌었어요
710,이미주,2020.10.03 10:50,"스타이즈본..   징그러운이야기 진짜 싫어하는데.. 좀비 호러 스릴러 이런거 완전 싫어해요..
이거 스타얘기래서 진짜 가볍게 듣다가 너무 끔찍하고 소름끼쳐서 경악...
스토리라도 탄탄하면 몰라..  스토리도엉망 개연성도업미 온갖 자극적이고 징그런 장면만 묘사하고..
진짜 최악.."
711,이미화,2020.09.26 21:55,"어미 처리때문에 못듣겠어요 
-다 .
랑 ㅈ, ㅅ 발음이 너무 새서 자꾸 거기에
신경이 쏠려서 내용이 집중이 안되네요 ㅜㅜ"
712,지내(지구는 내가지킨다),2020.09.22 16:40,형사3이 죽었다 재밌네요 
713,이지현,2020.09.18 16:52,흥미로운 상상력이 가득하네요. 재미있게 잘 들었습니다!!
714,김화란,2020.09.17 09:03,. . . 
715,제로,2020.09.17 08:37,"환상특급 같은 이야기...?
제 기대가 너무 컸나봅니다 ^^;;"
716,오직,2020.09.16 19:01,"해설하는 모든 문장의 끝 '-다' 소리가 너무 거슬려요. 바람이 많이 들어갔다고 해야하나... 대사들은 정말 실감나는데, 해설은 거슬리고 힘빠지네요ㅠㅠ "
717,엘리,2020.09.15 16:49,"전체 작품이 다 퀄 좋아요
"
718,오은미,2020.09.14 13:21,드라마 보다 책이 재미있어요~
719,최현아,2020.09.14 10:00,다양한 장르의 책이 올라와서 너무 좋아요. 재미있게 잘 들었습니다!
720,김승조,2020.08.20 10:49,전편 다 좋았어요. 각각 스토리들의 상상력도 독창적이고 듣는 내내 재미있고 집중하게 되었습니다. 갠적으론 대리자들 하고. 증강콩깍지의 상상력이 좋았다고 생각됩니다.^^
721,서효은(정아린맘),2020.08.17 14:00,독특하고 신선한 미래세계의 상상이 즐거웠다. 단편이 흡입력있게 듣게되어 좋았다
722,주현상,2020.08.16 15:02,잘 들었습니다 내용이 잘 공감되지 않아 여러 차례 들었습니다 
723,잠꼬대,2020.08.14 03:08,"장르 특성을 감안해도 너무 먼나라 이야기같네요
징그럽기도 하고"
724,김은솔,2020.08.13 15:05,드라마 먼저 보고 나서 들었는데 좋네요... 갠적으로는 오디오북이 더 취향
725,강선희,2020.08.11 10:39,"대리자들부터 들었는데 재밌네요. 
배우를 기술이 대체할 거란 생각은 못해봤는데, 그럴듯하여 섬뜩했습니다. 낭독 목소리도 좋도 연기도 자연스러워서 몰입해서 들었습니다."
726,,2020.10.18 07:21,안 열려요...
727,센얼간이,2020.10.06 22:07,너무하네
728,전만호,2020.10.06 06:31,발음 너무 이상해요~
729,L동요,2020.10.05 08:11,집중도 안되고 무슨 소리를 하는지 모르겠어요
730,이상훈,2020.09.14 17:05,번역이 왜 이렇죠? 번역기 수준. 몰입도 제로
731,김성진,2020.08.27 10:22,넛지 이책 내용은 좋은데 진짜 나중엔 같은 말만 반복해서 내용때운 수준이다
732,이하은,2020.08.22 23:26,구글변역기 성의있게 돌린 수준
733,김은솔,2020.08.21 16:46,경제학치고는 쉬워서 재밌어요
734,김연광,2020.08.20 02:10,소설도 많이 올려주세요
735,관홍 : 양수남,2020.08.19 21:18,소설 책이많으면 좋겠습니다
736,SJ,2020.10.25 18:54,관심 있는 분야라 더 유익했던 것 같다. 장점 나열식이라고 볼 수도 있지만 성공가도에 있는 스타트업. 성공한 기업 관련 차별화된 전략이 정리된 서적은 많을수록 좋다. 추천 
737,함현찬,2020.10.11 19:22,원리와 스토리를 섞어서 듣다보니 기억에 오래 남을듯 합니다
738,정빈파파,2020.09.27 10:18,비교분석은 전혀없고 장점만 나열했네요
739,na.y,2020.09.21 07:55,이 책 이후로 마켓컬리 이용중~ceo의 신념이 제품에도 녹아 있는거 같아요.
740,이민혁,2020.09.06 11:19,좋아요
741,김서연,2020.08.10 23:40,"장시간 운전할때 최고입니다
미싱하는거 좋아하는데
역시 라디오 보다 광고 없어서 너무 좋구
하루 한권 이상 듣기 가능해서 너무 좋습니다"
742,조한희,2020.08.06 23:11,확실히 정리하며 읽으니 체계적으로 머리속에 쏙쏙 들어오는 것 같네요 트렌드코리아에 발빠르게 대처하는 마켓컬리 존경스럽습니다
743,문세희,2020.07.27 18:20,구성은 잘했지만 부정적인부분 빼고 너무 미화시켰다는 인상은 지울 수 없다
744,신현순,2020.07.17 08:11,컬리이념이 너무 좋아 가입하고프네요.
745,Brian Dongwook Lee,2020.07.14 00:17,책을 먼저 읽고 들으니 더욱 좋습니다. 특히 스타트업을 운영중이신분이라면 강력 추천하는 오디오북입니다. 별 다섯개도 부족하네요. 강력 추천합니다.
746,안지현,2020.07.12 16:00,"아~~주 공감하며 들었습니다. 실제 책도 사서 보고 싶네요
컬리도 조만간 이용해 볼 겁니다 ^^"
747,EUN JUNG,2020.07.11 15:45,쉽게 언제나 ~~공간 시간의 자유로움이 최고입니다 한달 안에 몇권의 책을 접했는지 행복합니다
748,Jiwoo,2020.07.10 07:58,몇번이고 다시 듣고 싶네요 그럴거구요. 진정성이 느껴지고 신뢰도 급상승이에요. 저도 모르게 컬리에 가서 구매했네요.
749,김영찬,2020.07.08 21:38,김용임
750,권혁철,2020.07.02 18:46,"아주 유익한 내용이었습니다.
성우분 목소리 듣기 좋네요"
751,박지혜,2020.11.29 09:10,재밌었어요!
752,Cori,2020.11.25 01:39,"사랑스럽지 않은 여자 주인공에게 이렇게 마음이 갈줄이야. 자매가 서로에게 느끼는 열등감과 서로를 향한 애정, 미묘한 감정들의 묘사가 정말 좋았어요. 사건을 풀어가는 과정은 흥미진진했고 결말도 충분히 납득이갑니다. 성우분의 주인공 해석하는 능력과 연기가 탁월하다 느꼈어요. 정말 좋은 소설, 그리고 오디오북입니다. "
753,이은혜,2020.11.12 18:22,전 정말 좋았어요. 성우님 목소리도 너무 매력적이에요. 사랑하는 사람에 대해서 내내 생각했습니다. 종이책 사려구요.
754,김소연,2020.11.12 15:37,이런 분위기의 소설을 또 찾고 싶어요. 정말 재미있게 들었습니다.
755,임흥규,2020.11.12 12:22,전개가 조금 빠르면좋았겠지만 재미나게 잘들었어요~~^^
756,조현숙,2020.10.29 23:39,흡입력 쩔어
757,권소교,2020.10.27 19:00,"재밋게 잘 들었습니다.
감사합니다~"
758,,2020.10.27 17:40,"앞장은 지루~
뒷장은 좀 들을만~
전체적으론 별로~"
